Variable,Importance
mean_tmax.c_Oct,0.11803929190495102
om_pct,0.09087000990877185
sum_prcp.mm_Oct,0.07324735860111113
lat,0.0706295774742684
mean_vp.pa_Apr,0.04806023448166624
mean_tmin.c_Jul,0.04442722874482506
soilk_ppm,0.04419623735394949
mean_tmax.c_May,0.03817189888512957
sum_prcp.mm_Jul,0.037794029028887385
sum_prcp.mm_May,0.034224680996495276
soilpH,0.025507202840376983
mean_tmax.c_Jun,0.025085276487929485
lon,0.023973357670831866
mean_srad.wm2_Sep,0.02396730327756837
mean_vp.pa_Jun,0.02379690717748678
mean_tmax.c_Apr,0.019681169962640018
soilp_ppm,0.018922846201067673
mean_srad.wm2_Aug,0.01864516730886768
mean_dayl.s_Sep,0.017504653736189424
sum_prcp.mm_Apr,0.0173221781971003
